k,i,GWP,Theta,Per_Recy,Per_Comp,GHG_ElecInd,GHG_Transport,OCost
255,11,14.3857,0.5024,0.34567450875,0,5.178852,1.726284,4.2372
256,11,2.5416,0.4202,0.3456695115,0,0.914976,0.304992,1.0892
257,11,2.9585,0,0,0,1.06506,0.35502,0.7842
258,11,2.6,0.421,0.34478802315,0,0.936,0.312,1.0862
259,11,3.8279,0.421,0.31242479355,0,1.378044,0.459348,1.0125
260,11,3.8282,0.421,0.31242479355,0,1.378152,0.459384,1.0125
261,11,3.8279,0.421,0.31242479355,0,1.378044,0.459348,1.0125
262,11,3.8279,0.421,0.31242479355,0,1.378044,0.459348,1.0125
263,11,3.8279,0.421,0.31242479355,0,1.378044,0.459348,1.0125
264,11,3.9107,0.4605,0.34214355675,0,1.407852,0.469284,1.0343
265,11,3.9107,0.4605,0.34214355675,0,1.407852,0.469284,1.0343
266,11,3.9107,0.4605,0.34214355675,0,1.407852,0.469284,1.0343
267,11,3.9107,0.4605,0.34214355675,0,1.407852,0.469284,1.0343
268,11,3.9107,0.4605,0.34214355675,0,1.407852,0.469284,1.0343
